Key;Background;Music;Sound;Single effect;Continuous effect;Events;Delay;Emisor;spanish;english
ejemplo1_eating_022;;;;;;;;berto;Sí que lo está, nunca había notado tan bien la unión de todos los sabores, la cebolla no me gusta para nada pero le está dando un toque que me encanta.;
ejemplo1_eating_023;;;;;;;;katy;¿¡A que sí!? Cada sabor tiene su protagonismo y están todos riquísimos.;
ejemplo1_eating_024;;;;;;;;*;Luego de esta pequeña pausa para hablar continuamos comiendo dejando salir de vez en cuando un “Mmmmmm”.;
ejemplo1_eating_025;;;;;;;;;El silencio es roto por Katy cuando parte del relleno de su hamburguesa sale por atrás.;
ejemplo1_eating_026;;;;;;;;katy;¡Nooooooo! ¡El relleno!;
ejemplo1_eating_027;;;;;;;;*;Torpemente ella intenta meterlo de nuevo sin demasiado éxito, no teme para nada ensuciarse las manos.;
ejemplo1_eating_028;;;;;;;;;Logra rescatar parte del relleno, lo suficiente como para que se pueda seguir considerando una hamburguesa.;
ejemplo1_eating_029;;;;;;;;;Terminamos la comida y reposamos un pequeño momento mientras tomamos nuestras bebidas.;
ejemplo1_eating_030;;;;;;;;katy;Uf que llena estoy, y yo que pensaba que podría comerme dos.;
ejemplo1_eating_031;;;;;;;;berto;Jajajaja, no te voy a mentir yo también pensé en pedir dos, no estoy tan lleno pero sé que no me cabe otra.;
ejemplo1_eating_032;;;;;;;;katy;De verdad que todo estuvo muy rico, tenemos que volver otro día.;
ejemplo1_eating_033;;;;;;tableman:behind:katy;;berto;Sí, tenlo por seguro.;
ejemplo1_eating_034;;;;;;tableman:move:42;;*;El mesero camina detrás de Katy y me mira haciendo un gesto con la mano como si me dijera “¿Procedo?”;
ejemplo1_eating_035;;;;;;tableman:move:-20;;;Muy sutilmente asiento con la cabeza como para que Katy no se de cuenta, él capta la señal y regresa a la cocina.;
ejemplo1_eating_036;;;;;;;;katy;¿Te parece si pagamos y paseamos un rato por el centro comercial?;
ejemplo1_eating_037;;;;;;;;berto;S-sí pero…;
ejemplo1_eating_038;;;;;;;;*;Piensa piensa, tengo que hacer algo de tiempo, esto…;
ejemplo1_eating_039;;;;;;;;;Finjo sorpresa como si me acabara de acordar de algo.;
ejemplo1_eating_040;;;;;;;;berto;Oh no, olvidé escribirle a mi mamá que había llegado, dame un momento.;
ejemplo1_eating_041;;;;;;katy:jump;;*;Ella también se sorprende.;
ejemplo1_eating_042;;;;;;;;katy;¡Mierda yo también!;
ejemplo1_eating_043;;;;;;;;*;Ambos sacamos el celular, realmente nunca acordé escribirle a mi mamá al llegar, pero lo voy a hacer de todas formas para cubrirme las espaldas.;
ejemplo1_eating_044;;;;;;;;;“Hace como 30 minutos que llegué, se me olvidó avisarte”. Enviado;
ejemplo1_eating_045;;;;;;;;;Aprovecho la ocasión y reviso unos grupos, a ver…;
ejemplo1_eating_046;;;;;;;;;No, nada importante.;
ejemplo1_eating_047;;;;;;;;;Escucho la puerta de la cocina abrirse y de él sale el mesero con una bandeja.;
ejemplo1_eating_048;;;;;;;;;Esta tiene una especie de pequeño soporte en el que está apoyado el chocolate.;
ejemplo1_eating_049;;;;;;;;;La piel se me eriza y me empieza a temblar el pulso, aquí vamos.;
ejemplo1_eating_050;;;;;;tableman:move:25;;;Guardo mi celular, Katy sigue mirando el suyo y el mesero se acerca a la mesa.;
ejemplo1_eating_051;;;;;;;;tableman;Disculpe señorita, el caballero aquí presente hizo una petición única y especial para usted.;
ejemplo1_eating_052;;;;;;;;*;Ella suelta su celular de inmediato.;
ejemplo1_eating_053;;;;;;;;katy;¿Eh? ¿De verdad? ¿Qué es?;
ejemplo1_eating_054;;;;;;;;*;El mesero me mira de nuevo haciendo el mismo gesto de manos de antes.;
ejemplo1_eating_055;;;;;;;;berto;Adelante.;
ejemplo1_eating_056;;;;;;;;*;Él le hace entrega del chocolate y Katy lo observa.;
#condition decision;;;;;;;;;;
chocolate_heart_gived;give_chocolate_heart;ejemplo1/ejemplo1_004_reaction_chocolate_heart;;;;;;;;
chocolate_alice_gived;give_chocolate_alice;ejemplo1/ejemplo1_004_reaction_chocolate_alice;;;;;;;;
chocolate_calculator_gived;give_chocolate_calculator;ejemplo1/ejemplo1_004_reaction_chocolate_calculator;;;;;;;;
